field_name,field_type,kind,allowmultivalues,occurrences,placed_on_form_body,has_hidewhen,hidden_modes,likely_displayed
name,text,editable,,1,True,False,,高い(画面配置あり)
O365License,keyword,editable,,1,True,False,,高い(画面配置あり)
O365SYURUI,keyword,editable,true,1,True,False,,高い(画面配置あり)
Open_time,datetime,computedfordisplay,,1,True,False,,高い(画面配置あり)
OpenClose_time,number,computedfordisplay,,1,True,False,,高い(画面配置あり)
outline,text,editable,,1,True,False,,高い(画面配置あり)
OutlookApri,keyword,editable,,1,True,False,,高い(画面配置あり)
pass,text,editable,,1,True,False,,高い(画面配置あり)
pass_1,text,editable,,1,True,False,,高い(画面配置あり)
pass_2,text,editable,,1,True,False,,高い(画面配置あり)
Pass_time,number,computed,,1,True,False,,高い(画面配置あり)
pc_name,text,editable,,1,True,False,,高い(画面配置あり)
PCADDRESS,text,editable,,1,True,False,,高い(画面配置あり)
PCDH,number,editable,,1,True,False,,高い(画面配置あり)
PCDY,number,editable,,1,True,False,,高い(画面配置あり)
PCFAX,text,editable,,1,True,False,,高い(画面配置あり)
PCHONTAI,keyword,editable,,1,True,False,,高い(画面配置あり)
PCJIGYOU,text,editable,,1,True,False,,高い(画面配置あり)
PCKAISHA,text,editable,,1,True,False,,高い(画面配置あり)
PCMH,number,editable,,1,True,False,,高い(画面配置あり)
PCMY,number,editable,,1,True,False,,高い(画面配置あり)
PCNAME,text,editable,,1,True,False,,高い(画面配置あり)
PCSN,text,editable,,1,True,False,,高い(画面配置あり)
PCSOFT1,text,editable,true,1,True,False,,高い(画面配置あり)
PCTEL,text,editable,,1,True,False,,高い(画面配置あり)
PCUMU,keyword,editable,,1,True,False,,高い(画面配置あり)
PCUSHO,keyword,editable,,1,True,False,,高い(画面配置あり)
PCYH,number,editable,,1,True,False,,高い(画面配置あり)
PCYY,number,editable,,1,True,False,,高い(画面配置あり)
plathome,keyword,editable,,1,True,False,,高い(画面配置あり)
Processing_number,text,editable,,1,True,False,,高い(画面配置あり)
refresh_time,datetime,computed,,1,True,False,,高い(画面配置あり)
S_Category1,text,editable,,1,True,False,,高い(画面配置あり)
S_Category2,text,editable,,1,True,False,,高い(画面配置あり)
S_Category3,text,editable,,1,True,False,,高い(画面配置あり)
S_Outline,text,editable,,1,True,False,,高い(画面配置あり)
SAGYO,keyword,editable,true,1,True,False,,高い(画面配置あり)
saitan,text,editable,,1,True,False,,高い(画面配置あり)
saveswich,text,editable,,1,True,False,,高い(画面配置あり)
SCC_1,text,editable,,1,True,False,,高い(画面配置あり)
SDATE_D,number,editable,,1,True,False,,高い(画面配置あり)
SDATE_D_2,number,editable,,1,True,False,,高い(画面配置あり)
SDATE_M,number,editable,,1,True,False,,高い(画面配置あり)
SDATE_M_2,number,editable,,1,True,False,,高い(画面配置あり)
SDATE_Y,number,editable,,1,True,False,,高い(画面配置あり)
SDATE_Y_2,number,editable,,1,True,False,,高い(画面配置あり)
SEC1,text,editable,,1,True,False,,高い(画面配置あり)
SEC2,text,editable,,1,True,False,,高い(画面配置あり)
SEC3,text,editable,,1,True,False,,高い(画面配置あり)
Second_category1,keyword,editable,,1,True,False,,高い(画面配置あり)
Second_category2,text,computed,,1,True,False,,高い(画面配置あり)
Second_category3,text,computed,,1,True,False,,高い(画面配置あり)
Second_category4,text,computed,,1,True,False,,高い(画面配置あり)
SecondLineName,text,editable,,1,True,False,,高い(画面配置あり)
SecondLinew,text,computed,,1,True,False,,高い(画面配置あり)
SEIHIN,text,editable,,1,True,False,,高い(画面配置あり)
SSendTo_1,text,editable,,1,True,False,,高い(画面配置あり)
status,keyword,editable,,1,True,False,,高い(画面配置あり)
status_open,text,editable,,1,True,False,,高い(画面配置あり)
statusTYPE,keyword,editable,true,1,True,False,,高い(画面配置あり)
STIME_H,text,editable,,1,True,False,,高い(画面配置あり)
STIME_H_2,text,editable,,1,True,False,,高い(画面配置あり)
STIME_M,text,editable,,1,True,False,,高い(画面配置あり)
STIME_M_2,text,editable,,1,True,False,,高い(画面配置あり)
SW,text,editable,,1,True,False,,高い(画面配置あり)
TAIOU,keyword,editable,true,1,True,False,,高い(画面配置あり)
taisyo,text,editable,,1,True,False,,高い(画面配置あり)
TDATE_D,number,editable,,1,True,False,,高い(画面配置あり)
TDATE_M,number,editable,,1,True,False,,高い(画面配置あり)
TDATE_Y,number,editable,,1,True,False,,高い(画面配置あり)
tel,text,editable,,1,True,False,,高い(画面配置あり)
Third_answer,text,editable,,1,True,False,,高い(画面配置あり)
Third_comment,text,editable,,1,True,False,,高い(画面配置あり)
Third_Contact,text,editable,,1,True,False,,高い(画面配置あり)
Third_Dept,text,editable,,1,True,False,,高い(画面配置あり)
Third_half,text,editable,,1,True,False,,高い(画面配置あり)
Third_Person,text,editable,,1,True,False,,高い(画面配置あり)
Third_Type,text,editable,,1,True,False,,高い(画面配置あり)
Title,text,computedwhencomposed,,1,True,False,,高い(画面配置あり)
TOOL,keyword,editable,true,1,True,False,,高い(画面配置あり)
TRBIKOU,text,editable,,1,True,False,,高い(画面配置あり)
TRFAX,text,editable,,1,True,False,,高い(画面配置あり)
TRJIKI,text,editable,,1,True,False,,高い(画面配置あり)
TRKBUSYO,text,editable,,1,True,False,,高い(画面配置あり)
TRKISYU,text,editable,,1,True,False,,高い(画面配置あり)
TRMAKER,text,editable,,1,True,False,,高い(画面配置あり)
